package_name,is_obsolete
com.vemotion.android.encoder,1
com.osfunapps.remoteforcatvision,1
com.verilocation.android.vehicleterminal,1
com.luckyhealth.walkingtracker.stepgo,1
com.armaniexchange.connected,1
com.greeniee.greeniee,1
com.edgescreen.edgeaction,1
cn.devict.fish,1
com.heartmonitor.bytebonding,1
com.honoooba5guide.appgdf,1
io.liphy.vlcips.checkin,1
com.guide_for_echo_show_8.bashar_almansy,1
com.App.TranTech,1
com.aviramido.udpserver,1
com.shake.launcher,1
universal.remote.control.tvcast,1
com.royole.rydrawing,1
com.virtualgenerationfitness.app,1
com.volkswagen.electricvehicle.ev.emobility,1
com.ford.fordpasspro.eu,1
com.westerlydesigners.irremotetestinfraredraysdetectors,1
com.mobeasyapp.jaybird_vista_2,1
com.rz.android.sensor.box,1
com.hyperxcloud.alpha62,1
com.vietapps.weatherlive,1
com.yes.yesDeskApp,1
com.myuniportal.android.apps.marsxplorer,1
com.heer,1
com.okythoos.android.tdmpro,1
com.appfour.wearcalendar,1
com.vengit.sbrick,1
uk.droidmechanix.altcam,1
com.mobeasyapp.app694467963880,1
com.securesmart.camera,1
net.turnkeytrading.prometheus.tracker,1
com.tivo.android.blueridge,1
com.forbitbd.sultantracker,1
com.messageloud,1
com.merogadi.merogadi,1
com.bosco.boscoApp,1
com.netpulse.mobile.ymcatwincities,1
soft.gelios.com.eazzy,1
com.angell.bike,1
com.cryoshower.live,1
com.ford.remoteaccess,1
com.twogoldenventure.bloodpressure.tracker.diary.bp.checker.history.info.chart.log.journal.calculator.hypertension.spo2,1
com.atheer.lens.qa,1
com.schneiderelectric.easergythermalconnect,1
com.gfxestudio.panadvdremote,1
com.hertz.hod,1
watch.richface.androidwear.etronic,1
com.spod.bantam,1
dk.seneco.configapp.fagerhult,1
nl.anewspring.gazelleacademy,1
com.zxy.remote,1
com.lehiso.kindduro,1
com.alfanla.virunpod,1
anna.screenmirroring,1
com.lotus.smartime,1
cn.chuango.x330,1
com.Rob.bini.rorobinoa,1
com.zengge.smartotoscope,1
com.lorneloch_stravaigers.totem_zero,1
com.trackm2m.trackm2mvistracks,1
comnsec.avl,1
com.pelvifly.kegel_ninja_exercises,1
com.ImperiumSoftware.RobotMaze,1
com.Xoee.Xoeealarm,1
com.drivequant.lostnfound,1
